Number, Authors,Year,Journal/Conference,Title,Cognitive,Perceptual,Involves Priming,Suggested Keywords,Detailed Comments,Agent/Avatar,Body Ownership,User Response,Participant Group,Relevance,Quality,Contributor (Your Name),Date Entered,
215,"Sin-Hwa Kang
James H. Watt
Sasi Kanth Ala",2008,Hawaii International Conference on System Sciences,"Communicators’ Perceptions of Social Presence as a Function of Avatar Realism
in Small Display Mobile Communication Devices",Yes,No,No,"Anthropomorphic Face and Facial Expressions (a), Emotiveness (i), Talk/Speak (r), Display Technology (sm)",Study examines social presence through the use of small display mobile devices. Participants are required to disclose information about themselves and evaluate the avatar. Participants rate their perception of the communicative medium's social richness and satisfaction with avatar interactions.,Avatar,No,,126 Northwestern University students,High,High,Joy,2013-06-10,
216,"Kang, S-H.
Gratch, J.
Wang, N.
Watt, J.H.",2008,Proceedings of AAMAS,Does the Contingency of Agents' Nonverbal Feedback Affect Users' Social Anxiety?,Yes,Yes,No,"cooperative behavior (r), talk/speak (p, r), emotiveness (r), body pose and gestures (s, i)","Study looked at the effects of agent responsiveness. Subjects interacted with a real human, avatar controlled by a human, a responsive agent, or an agent whose behavior did not depend on the subject. Subjects either watched a video and retold the information or listened to a speaker and retold what they said. Socially anxious subjects had lower rapport and performed worse. They were least trustworthy of real humans compared to virtual ones. ",Agent/ Avatar,N/A,"self-reports of trustworthiness, rapport, performance, shyness, likableness","131 participants from Los Angeles (51m, 80f)",Medium,High,Jenna,2013-06-10,
217,"Hoyt, C.L.
Blascovich, J.
Swinth, K.R.",2003,Presence,Social Inhibition in Immersive Virtual Environments,Yes,Yes,Yes (told the audience was agents or avatars),"emotiveness (r), agency (i), body pose and gestures (sc), situational plausibility (sc)",Subjects mastered 1 of 2 tasks (categorization or pattern recognition) in VR. They did the mastered or non-mastered task alone or in front of a virtual audience. They were told audience members were agents or human-controlled avatars. Those performing in front of an audience of avatars had higher social anxiety and inhibition than those who did the task alone or in front of agents. ,Agent,N/A,"performance (% correct), self-reports of anxiety, copresence, and task novelty","39 UCSB undergraduates (15m, 24f)",Medium,High,Jenna,2013-06-10,
218,"Anna Spagnolli
Luciano Gamberin",2008,Proceedings of the 11th Annual International Workshop on Presence,"The Effect of Viewer Perceptions of Avatar Anthropomorphism and Realism on
Judgments of Credibility and Homophily, and Avatar Choice",No,No,No,Anthropomorphic Face and Facial Expressions (a),"Participants interacted with avatars whose anthropomorphism and realism were controlled, but whose gender was randomly either masculine or feminine, while processing information online. Perceived avatar masculinity, anthropomorphism, realism, credibility and homophily were measured. Study results indicate that avatars' anthropomorphism and realism influence participants' ratings of homophily and credibility of the avatars as well as the source of information. ",Avatar,Increased homophily for matched-gender avatars,Participants who interacted with avatars of the same gender felt positively closer to their avatars.,"310 undergraduate students at public northeastern university,142m,168f, aged 18-24 ",Medium,Medium,Joy,2013-06-10,
219,"Rachel McDonnell       
Sophie Jörg       
Joanna McHugh        
Fiona N. Newell      
Carol O'Sullivan       
",2009,ACM Transactions on Applied Perception (TAP),Investigating the Role of Body Shape on the Perception of Emotion,No,No,No,"Physical Shape (s), Emotiveness (i), Body Pose and Gestures (s,i)","This study researches the effect of form and shape on perceived emotions of a virtual ""other"". Different forms exhibited six different basic emotions (sad, happy, surprised, afraid, angry, disgusted). Presence of absence of a form or ""body"" was also used to analyze participants' perceptions of emotion. ",Avatar,No,"The presence of avatar body affected participants' perceptions of emotions, mostly regardless of the body shape. Body hape had a stronger effect on participants' perception of emotion than body motion did.","66 participants (44m, 22f) aged 19-45",High,High,Joy,2013-06-10,
220,"Kristine L. Nowak
Christian Rauh",2005,Journal of Computer-Mediated Communication,"The Influence of the Avatar on Online Perceptions of Anthropomorphism, Androgyny, Credibility, Homophily, and Attraction",No,No,No,Anthropomorphic Face and Facial Expressions (a),"Participants evaluate static, non-dynamic images of avatars and rated their anthropomorphism, credibility, androgeny, homophily, attraction, and likelihood of choosing avatars for an interaction. The absence of adrogeny was most effective in perceptions of avatar images. Other results were also found (see user response). ","Avatar (image only, non-dynamic)",Participants demonstrate a preference for human avatars and for avatars whose gender was matched to their own.,"Participants perceived avatars as more attractive and credible as anthropomorphism increased, and were more likely to choose them as representations of themselves. Participants rated masculine avatars as less attractive than female avatars. Also, particants perceived child-like avatars as more attractive. Avatars shown first were rated less positively in terms of androgeny, homophily, and anthropomorphism than those shown later. Participants show engagement with uncertainty reduction theory, which posits that humans primarily seek to reduce uncertaintly when ineractioning with someone else, by consistently assigning avatar images to the same categories.","221 communication students (136m, 115f) from Northeastern university",Medium,High,Joy,2013-06-10,
221,"James, L.K.
Lin, C-Y.
Steed, A.
Slater, M.
Swapp, D.",2003,CyberPsychology & Behavior,Social Anxiety in Virtual Environments: Results of a Pilot Study,Yes,Yes,No,"agency (i), talk/speak (r), auditory stimuli (o), physical shape (sm)",Pilot study examined social anxiety in VR. Subjects interacted with neutral virtual humans on a virtual train and started a conversation with virtual humans in a virtual wine bar. Randomly assigned to which scenario to start with. Subjects had more self-reported and physical anxiety in the wine bar condition probably because it was more socially demanding. ,Agent,No,"self-reported anxiety; self-reported sweat, stomach discomfort, heart palpitations, tremors, nerves, chest tightness, nausea, lack of balance, tension  ","10 participants (5m, 5f)",Medium,High,Jenna,2013-06-10,
222,Niek Brunninkhuis,2012,"none (Doctoral dissertation, Tilburg University)",The Effect of Eye Gaze Direction on Vocal Mimicry,Yes,Yes,No,"Eye gaze (p), Talk/Speak (p)","Participants were exposed to EIA (embodied interface agents) who spoke a single word in either a falling, rising or late-rising pitch. Participants' reactions to the voice pitch and eye gaze of the EIA's were measured in voice pitch change as they were instructed to repeat the word. Sixteen videoclips of an EIA were created where the EIA spoke a single word; in half of these the EIA gazed directly at the participant (or viewer of the video) and in the other half, the EIA averted his/her gaze. Thirty-two additional clips were mixed with these videos where the EIA blinked his eyes as ""control"" conditions. Participants were instructed to press the ""space"" bar if the EIA blinked his/her eyes in order to focus their attention on the eyes of the EIA. ",Agent,Participants who felt agents were gazing at them adjusted their voices to mimic the same tone as the agents'.,Participants whose agent looked at them directly adjusted their voice intonation to that agent moreso than did participants whose agent did not look directly at them. ,"47 (24m, 23f) Tilberg University students, aged 18-34",High,High,Joy,2013-06-11,
223,"Vinoba Vinayagamoorthy
Anthony Steed
Mel Slater",2008,IEEE Transactions on Visualization and Computer Graphics,The Impact of a Character Posture Model on the Communication of Affect in an Immersive Virtual Environment,Yes,Yes,Yes,"Body Pose and Gestures (s), Anthropomorphic Face and Facial Expressions (a), Auditori Stimuli (o), emotiveness (i), Anthropomorphic Appearance (sc), Talk/Speak (p)","Experiment involves measuring participants' perceptions of virtual characters' emotional states. Participants in VR observed two characters talking to each other; the content of the conversation was muffled to be indistinguishable so that only nonverbal behavior could cue towards the characters' affective state. The portrayed emotion was either sad or angry by a single character (the second was always neutral). The participant was instructed to move towards the characters after locating them and engage in a conversation about maze directions. Both characters acted neutral towards the participant once the participant had approached them. Participant response to the virtual character demonstrating emotion was measured as a function of subjective, physiological and behavioral levels.",Agent,No,"Participants felt they were intruding to interrupt the two virtual characters, they felt the need to act politely. Avatar posture was not found to strongly affect emotional perceptions of participants, as researchers had hoped. Neutral postures overall had an advantage over angry postures in producing feelings of copresence and higher physiological arousal. Neutral postures were also helpful for increasing feelings of copresence, but not physiological arousal, when compared to sad postures. Almost all participants in the angry condition accurately that their avatar was ""angry"" using nonverbal cues.","49 students, only male, all 20's",High,High,Joy,2013-06-11,
224,"Cathy Ennis
Carol O'Sullivan",2012,Computer Animation and Virtual Worlds,Perceptually Plausible Formations for Virtual Conversers,Yes,Yes,No,"Situational Plausibility (a,sc), Body Pose and Gestures (sc,p), Proxemics (sc), Emotiveness (i), Synchronization of Stimuli (sc), Auditory Stimuli (sm)","Researchers' stated objective is to ""examine human sensitivity to variations in interpersonal distances for two virtual conversers"". Specifically interested in the evolving field of background characters and their effect on scene plausibility or presence enhancement in VR, they applied parameters evident in real-life human conversations to virtual characters using distance and orientation manipulations and measured participant sensitivity after exposure to virtual characters. ","Avatar (recorded motion, not in real time)",No,"Participants showed a reaction to distance and orientation changes between talking and listening characters in VR. They were not sensitive to abnormal nonverbal behavior in any distance manipulation condition. When characters were close or in the middle of the distance spectrum, participants rated the characters' communicative abilities higher.","19 volunteers (13m, 6f), not including actors used to model avatar behaviors ",Medium,High,Joy,2013-06-11,
225,"Paul Skalski
Ron Tamborini",2007,Media Psychology,The Role of Social Presence in Interactive Agent-Based Persuasion,Yes,Yes,Yes,"Anthropomorphic Face and Facial Expressions (a), Responsivenes/Latency (r), Talk/Speak (r)","Experiment focuses on persuasion, social presence and information processing effects of social agents. Participant attitude and intention towards a specific health issue are measured. Source attractiveness is manipulated, as well as participant understanding of social agent's control (human, not computer). ",Agent/Avatar,No,"Despite attractiveness manipulations, participants across conditions who perceived greater interactivity reported a higher sense of social presence. Higher social presence enhanced their attention to agents' positive attributes in both attractive/unattractive conditions. Increasing participants' message processing positively affected their mood, inreasing the chance of their persuasion. ","125 Midwestern university students (42m, 83f), average age 21.56",High,High,Joy,2013-06-11,
226,Kristine L. Nowak,2004,Journal of Computer-Mediated Communication,The Influence of Anthropomorphism and Agency on Social Judgment in Virtual Environments,Yes,Yes,Priming,"Anthropomorphic Face and Facial Expressions (a), Talk/Speak (r), Talk/Speak (p), Auditory Stimuli (sm)","This article tests participants' uncertainty and social judgement through the influence of anthropomorphism and agency. Information was presented to participants in a virtual environment only and social judgements were then measured. Participants experienced their virtual partner through a virtual world viewed through a computer screen either either an image, with a highly anthropomorphic image, or with a low anthropomorphic image. Participants were either told their partner was another student or that it was computer-controlled. Social attraction, credibility and uncertainty were measured. ",Agent/Avatar,No,"Participants' social judgement was affected by the presentation of a virtual image. The most anthropomorphic image was perceived less credible and likable than no image at all, and the less anthropomorphic image was rated more credible and likeable than both.","134 undergraduates (94m, 40f) at a large Midwestern university",High,High,Joy,2013-06-11,
227,"Kelly, O.
Matheson, K.
Martinez, A.
Merali, Z.
Anisman, H.",2007,CyberPsychology and Behavior,Psychosocial Stress Evoked by a Virtual Audience: Relation to Neuroendocrine Activity,Yes,Yes,Yes (told to imagine audience behind one-way mirror),Talk/Speak (p); Situational Plausibility (sc),"Study compares neuroendocrine activity in VR and in real life. Subjects gave a speech or a speech with a math challenge in front of one-way mirror (imagined audience), a virtual audience, or an audience of real people. The real audienced yielded the most anxiety and highest cortisol levels. Below that, the virtual audience and imagined audience had similar anxiety results, which were both higher than the control group that did not give a speech. Concludes that real audiences create more anxiety, but VR audiences can create some public speaking anxiety. ",Agent,No,Cortisol levels from saliva samples; questionnaire answers,"274 university students (158m, 144f)",Medium,High,Jenna,2013-06-11,
228,"Cornwell, B.R.
Heller, R.
Biggs, A.
Pine, D.S.
Grillon, C. ",2011,J Clin Psychiatry,Becoming the Center of Attention in Social Anxiety Disorder: Startle Reactivity to a Virtual Audience During Speech Anticipation,Yes,Yes,No,"Eye Gaze (p), Talk/Speak (p), Anthropomorphic Appearance (sc), Responsiveness/Latency (p), Body Pose and Gestures (p), Agency (i)","Subjects went center stage in a virtual environment and gave a speech. Audience social cues, like blinking, were gradually unveiled in anticipation of the speech, during delivery, and recovery after the speech. Subjects with social anxiety disorder reported higher distress and anxiety than healthy subjects. Both groups reported the most anxiety during anticipation of the speech, especially when the virtual audience shifted their attention/eye gaze onto the speaker.",Agent,No,"self-reports of anxiety, distress in and out of VR",32 participants,Medium,High,Jenna,2013-06-11,
229,"Cornwell, B.R.
Johnson, L.
Berardi, L.
Grillon, C.",2006,Biological Psychiatry,Anticipation of Public Speaking in Virtual Reality Reveals a Relationship Between Trait Social Anxiety and Startle Reactivity,Yes,Yes,No,"Talk/Speak (p), Responsivness/Latency (p), Spontaneous Actions (p), Synchronization of Stimuli (sc)","Study looked at startle reflexes in scenarios with social threat. Subjects performed 2 tasks in VR: a social task (5 minute speech in front of an audience) and a nonsocial task (counting backward in an empty room). Startle probes were included every 17-23 seconds.There were significant increases in anxiety in anticipation of both VR tasks, especially the 5 minute speech. Startle reflexes were linearly related to anxiety predisposition in evaluative, social situations. Skin conductance and heart rate were higher for anticipation in the speech than in the counting task. Concludes that high trait social anxiety is linked to high startle reflexes in situations of social evaluation.  ",Agent,No,"self-reported anxiety (questionnaires), electrocardiographic (ECG): skin conductance, heart rate","45 healthy participants (21m, 24f)",Medium,High,Jenna,2013-06-11,
230,"Bailenson, Jeremy
Beall, Andrew C.
Blascovich, Jim",2002,Visualization and Computer Animation,Gaze and Task Performance in Shared Virtual Environments,Yes,Yes,No,"Responsiveness/Latency (p), Anthropomorphic Appearance (sc), Body Pose and Gestures (p, r), Talk/Speak (p, r), Facial Expressions (sc), Synchronization of Stimuli (a), Auditory Stimuli (o)","Study examines co-presence and avatar behavior (head movements). Subjects played a game of ""20 Questions"" as either an interrogator or answerer. 3 conditions of other avatars: low behavior (no visual representation, voice only), medium behavior (could see avatar movements and hear avatar voices), and high behavior (same as medium with rendered head movements). Results show that subjects had higher co-presence, liked each other more, looked at each other's heads more, and spoke less during the game in the high behavior condition compared to other conditions. Concludes that people benefit from extra forms of communicaiton. ",Avatar,No,"questionnaires; demographic information; behavior and performance: # questions asked, time it took to ask question, time it took to finish game in each condition, time spent speaking during game (%)","27 undergraduate psychology students (16m, 11f)",High,High,Jenna,2013-06-11,
231,"Colburn, R. Alex
Cohen, Michael F.
Drucker, Steven M.",2000,N/A (Microsoft Research),"The Role of Eye Gaze in Avatar Mediated Conversational Interfaces
",Yes,Yes,No,"Eye Gaze (i, p, r), Responsiveness/Latency (p), Agency (i), Anthropomorphic Face and Facial Expressions (a), Situational Plausibility (a), Talk/Speak (p, r), Graphical Fidelity (sm)","This research focuses on models of real-time eye gaze in avatars. Subjects spoke to an avatar via a headset and computer monitor. It was a 9 minute, casual conversation about various topics. It was broken down into 3 sections of 3 minutes. Subjects saw a blank scree, then an avatar that just looked straight ahead, and an avatar with the eye gaze model. Experimenters noted when subjects looked at avatar and when they did not. Results showed subjects looking at center of screen more with an avatar than without. No significant looking patterns between avatar conditions when subjects were speaking. Significant looked at eye model avatar more than other avatar when they were listening.  ",Agent (eye model is computer-controlled - just referred to as avatar in this paper),No,"% time subject looked at avatar while speaking, % time subject looked at avatar while listening",20 convenient participatns (computer scientists or administrative aids),High,Medium,Jenna,2013-06-11,
232,"Katherine Isbister
Clifford Nass",2000,International Journal of Human-Computer Studies,"Consistency of Personality in Interactive Characters: Verbal Cues, Non-Verbal Cues, and User Characteristics",No,No,No,"Emotiveness (i), Body Pose and Gestures (i,p), Cooperative Behavior (r), Responsiveness/Latency (r), ","This study examines the effect of interactive characters' verbal and nonverbal cues on participants' interpretations of their personality. The hypothesis centers around a similar  interpretation of verbal (text) and nonverbal (posture) cues in identification of personality when compared to participants' evaluation of real people. Intro and extroverted subjects were placed in one of three conditions: character with similar personality, character with dissimilar personality, and character with inconsistant personality. Characters were displayed on a computer screen and resembled a real-life faceless wooden figure with a human-like form. Characters' influence based on personality conditions was measured as a function of their influene and persuasion on participants' choices in a hypothtical survival task.",Agent,No,"Participants preferred consistent verbal and nonverbal cues across personality conditions and could accurately identify the personality of their interactive character. Participants changed their choices for tools in a hypothetical survival task more frequently when their character was consistently introverted or extroverted. Participants' preference was for interactive characters with a personality opposite of, rather than matched to, their own.","40 Stanford students (20 extroverted, 20 introverted)",Medium,High,Joy,2013-06-11,
233,"Sin-Hwa Kang
James H. Watt",2013,Computers in Human Behavior,The Impact of Avatar Realism and Anonmity on Effective Communication via Mobile Devices,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Graphical Fidelity (sm), Auditory Stimuli (sm), Display Technology (sm), Situational Plausibility (sc)","This is a study on social communication using small-screen devices. Researchers tested the effect of anonymous avatar use in audio/visual communication to determine if avatar implementation would enhance communication effectiveness. Levels of avatar realism (static/dynami, high or low visual fidelity) and anonymity were manipulated. Participants were told a hypothetical situation indicating that their avatar could be a potential rommate and were encouraged to engage in conversation with them. Participants' perception of copresence was recorded. ",Avatar,No,"Participants perceived mobile devices whose avatars had higher kinetic conformity as socially richer platforms. Participants' interactive satisfaction with their technological communication positively correlated with anthropomorphism of the avatar used. Participants rated the social copresence of mobile devices whose avatars were highly anonymous lower than those with less anonymous avatars. This effect was decreased when avatars were visually and behaviorally more realistic.
","198 northeastern college students (99f, 99m)",Medium,High,Joy,2013-06-11,
234,"Cassell, Justine
Thorisson, Kristinn R.",2010,Applied Artificial Intelligence,The Power of a Nod and a Glance: Envelope vs. Emotional Feedback in Animated Conversational Agents,Yes,Yes,Yes,"Incremental Interpretation/Early Feedback (p), Emotiveness (p, r), Agency (i), Body Pose and Gestures (p), Anthropomorphic Appearance (sc)","Subjects interacted with 3 different kind of agents, which were all capable of full multimodal interaction. They all had different kinds of feedback: content-related only (questions and commands), content and envelope (nonverbal behaviors), and content and emotional (smiles and looks of puzzlement). Results show that agents' envelope feedback is more important in interaction and processing dialog than emotional feedback. Subjects also rated the agents as being lifelike and fluid in interaction. ",Agent,No,"evaluation questionnaires, speech patterns and behaviors (video)",12 convenient volunteers (age 22-37),High,Medium,Jenna,2013-06-11,
235,"Rinat B. Rosenberg-Kima
Amy L. Baylor
E. Ashby Plant
Celeste E. Doerr",2008,Computers in Human Behavior,Interface Agents as Social Models for Female Students: The Effects of Agent Visual Presence and Appearance on Female Students' Attitudes and Beliefs,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Talk/Speak (p), Emotiveness (i)",Researchers designed agents to appear anthropomorphic and potentially act as social models for young women in college. The goal of the study was to successfully use these agents to reduce young women's negativity and feelings of low self-efficacy in beliefs about engineering. One experiment compared the impact of the agent's voice alone with the impact of the agent's visual model alone to determine the most effective medium in influencing beliefs. A second experiment compared the influence of the agent's different physical characteristics. All participants in the second study interacted with a physical model that did not have a voice. ,Agent,No,"The agent presented as a visual medium had a greater impact than the agent with voice alone on influencing young women's beliefs about self-efficacy in engineering. The more similar the agent appeared based on physical characteristics of the computer model, the more influential it was in positive alterations of women's steroetypes about engineering and beliefs about self-efficacy. ","200 female undergraduates Average age: 19.7, 158 Caucasian, 9 African–American, 3 Asian/Asian American, 2 Native American, 19 Hispanic/Latino, 3 biracial, 6 multiracial.
",High,High,Joy,2013-06-12,
236,"Grillon, H.
Riquier, F. 
Herbelin, B.
Thalmann, D.",2006,"International Conference on Disability, Virtual Reality and Associated Technology",Use of Virtual Reality as Therapeutic Tool for Behavioural Exposure in the Ambit of Social Anxiety Disorder Treatment,Yes,Yes,No,"Eye Gaze (r), Talk/Speak (r)","Participants went through 2 phases: 3 evaluation sessions of target symptoms and weekly VR exposure for 8 weeks. In VR, subjects were exposed to social anxiety situations with audiences. Conditions: one-on-one job interview, one-on-one meeting at a bar (with others around), meeting in a cafeteria, speech in auditorium. Researchers administered anxiety questionnaires and tracked eye gaze. Self-reported anxiety and visual eye contact avoidance with virtual people decreased after treatment compared to before treatment. Software shows that participants focused more attention on the faces of the virtual people after treatment than before. ",Agent,No,"Self-reported anxiety, eye gaze",8 college students,Medium,Medium,Jenna,2013-06-12,
237,"Rinat B. Rosenberg-Kima
Amy L. Baylor
E. Ashby Plant
Celeste E. Doerr",2009,Computers and Education,Changing Middle-School Students’ Attitudes and Performance Regarding Engineering with Computer-Based Social Models,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Body Pose and Gestures (s, i), Talk/Speak (p), Auditory Stimuli (o)","Researchers used animated agents as an interface with middle school children. The agents were designed to act as social models and expected to potentially change students' attitudes towards engineering and mathematics fields. Conditions were control (no agent), male agent, or female agent.",Agent,No,"Both male and female participants in female agent condition displayed an increase in math performance, interest, utility beliefs and self-efficacy. Male participants' stereotyping was reduced in the female agent condition. Secondary analysis indicates that by increasing self-efficacy in participants, female agents were able to promote interest and math performance. 
","106 middle-school students (61f, 45m), age range 12-15. 54% Caucasian, 27% African–American, 2% Asian/Asian American, 8% Hispanic/Latino, 6% multiracial, 1%  “other”, 2% unreported.",Medium,Medium,Joy,2013-06-12,
238,"Jean A. Pratt
Karina Hauser
Zsolt Ugray
Olga Patterson",2007,Interacting with Computers,Looking at Human–Computer Interface Design: Effects of Ethnicity in Computer Agents,No,Yes,No,"Anthropomorphic Face and Facial Expressions (a), Cooperative Behavior (r), Physical Shape (s)","This study demonstrates participants' shifts in attitude change based on the ethnicity of interactive computer agents providing them with advice. Ethnicities researched in this study are European American and African American. 
",Agent,No,Participants increasingly changed their attitudes when matched-ethnicity agents provided them with feedback. The overall appearance of the agent as opposed to no visual appearance significantly impacted participants' action to modify their original choices based on agent advice regardless of ethnicity.,"158 Midwest and Northwestern undergraduates (86m, 72f). 90.5% European American.",Medium,Medium,Joy,2013-06-12,
239,"North, M.M.
Schoeneman, C.M.
Mathis, J.R.",2002,Studies in Health Technology and Informatics,Virtual Reality Therapy: Case Study of Fear of Public Speaking,Yes,Yes,No,"Talk/Speak (r), Responsiveness/Latency (p), Emotiveness (p), Body Pose and Gestures (p), Agency (i)","One male participant was exposed to 4 conditions in VR: speaking to an empty auditorium, a full auditorium, an audience that paid no attention to him, and an audience that laughed at him. Audience size varied from 0 to 100. Subject participated in 8 weekly sessions (10-15 minutes long). He experienced similar symptoms in VR speaking situations as in real life. Subject's self-reported anxiety decreased after therapy. He also reported feeling more comfortable public speaking. ",Agent,No,Self-reported anxiety and attitudes toward public speaking ,"1 male Caucasian student from Kennesaw State University, age 28",Medium,Medium,Jenna,2013-06-12,
240,"Garau, Maia
Slater, Mel
Bee, Simon
Sasse, Martina Angela",2001,CHI (?),The Impact of Eye Gaze on Communication using Humanoid Avatars,Yes,Yes,No,"Eye Gaze (p, r), Anthropomorphic Appearance (sc), Responsiveness/Latency (p, r), Agency (i), Auditory Stimuli (sm), Body Pose and Gestures (p), Anthropomorphic Face and Facial Expressions (a), Talk/Speak (r)","Study examines gaze in avatars. Subjects were in a dyadic interaction in 4 conditions: video, audio-only, random-gaze avatar (gaze not related to conversation), and informed-gaze avatar (turn-taking). Researchers tracked head movements and inferred eye animations from audio stream. Results show that random-gaze avatar conditioned subjects did not improve on audio-only communication. The informed-gaze avatar significantly out-performed the random-gaze avatar and audio-only condition. Concludes that avatars whose gaze behavior is related to conversation improves liveliness.",Avatar,No,"Questionnaire: extent experience felt like it was face-to-face, involvement, co-presence, partner evaluation ",100 participants,High,High,Jenna,2013-06-12,
241,"Klein, J.
Moon, Y. 
Picard, R.W.",2002,Interacting with Computers,"This Computer Responds to User Frustration: Theory, Design, and Results",Yes,No,No,"Agency (i), Cooperative Behavior (r), Emotiveness (i)","Interactive affect-support agent textually interacted with subjects in frustrating situations (delay while using technology system), demonstrating empathy, sympathy, and listening. The 2 control conditions: users were ignored and users reported problems and vented their feelings. Users interacted with frustrating system significantly longer after interacting with affect-support agent compared to controls. Concludes that a computer can improve some negative feelings it causes by helping users manage emotional states. ",Agent,No,"Self-reported frustration and affect, time users played the game",70 participants ,Medium,High,Jenna,2013-06-12,
